# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 41.9650
# Longitude (positive East, ISO 19115): 12.7954
# Altitude (m): 166.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2021-10-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-03T16:00:00.0/2020-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T17:00:00.0/2020-01-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T18:00:00.0/2020-01-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T19:00:00.0/2020-01-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T20:00:00.0/2020-01-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T21:00:00.0/2020-01-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T22:00:00.0/2020-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T23:00:00.0/2020-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T00:00:00.0/2020-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T01:00:00.0/2020-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T02:00:00.0/2020-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T03:00:00.0/2020-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T04:00:00.0/2020-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T05:00:00.0/2020-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T06:00:00.0/2020-01-04T07:00:00.0;10.2250;2.9805;0.4762;2.5043;12.5260;1.6359;0.0000;1.6359;0.0000;1.0000
2020-01-04T07:00:00.0/2020-01-04T08:00:00.0;175.8478;87.6488;45.6569;41.9919;327.9050;57.8158;14.7694;43.0464;91.7760;1.0000
2020-01-04T08:00:00.0/2020-01-04T09:00:00.0;363.6750;228.6320;156.5470;72.0850;599.1049;193.5134;115.8819;77.6315;435.2572;1.0000
2020-01-04T09:00:00.0/2020-01-04T10:00:00.0;501.9393;343.5710;255.6709;87.9001;715.9899;315.4290;236.5005;78.9284;664.5369;1.0000
2020-01-04T10:00:00.0/2020-01-04T11:00:00.0;581.2224;410.0941;310.7608;99.3332;752.6330;295.6342;130.6623;164.9720;318.0627;1.0000
2020-01-04T11:00:00.0/2020-01-04T12:00:00.0;596.1232;421.6265;317.0392;104.5873;748.6898;316.4856;159.7140;156.7716;376.6372;1.0000
2020-01-04T12:00:00.0/2020-01-04T13:00:00.0;545.6268;378.1187;278.2693;99.8494;717.4819;260.3646;78.1158;182.2487;201.1321;1.0000
2020-01-04T13:00:00.0/2020-01-04T14:00:00.0;433.1741;284.4222;200.0090;84.4132;647.1974;173.6883;25.7933;147.8949;84.3042;1.0000
2020-01-04T14:00:00.0/2020-01-04T15:00:00.0;266.4267;152.7059;94.0883;58.6175;482.7879;105.3489;21.2317;84.1171;100.4631;1.0000
2020-01-04T15:00:00.0/2020-01-04T16:00:00.0;64.0498;26.2716;10.5804;15.6911;127.4641;15.8728;0.0000;15.8728;0.0000;1.0000
2020-01-04T16:00:00.0/2020-01-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T17:00:00.0/2020-01-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T18:00:00.0/2020-01-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T19:00:00.0/2020-01-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T20:00:00.0/2020-01-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T21:00:00.0/2020-01-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T22:00:00.0/2020-01-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T23:00:00.0/2020-01-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T00:00:00.0/2020-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T01:00:00.0/2020-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T02:00:00.0/2020-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T03:00:00.0/2020-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T04:00:00.0/2020-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T05:00:00.0/2020-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T06:00:00.0/2020-01-05T07:00:00.0;10.2720;3.5132;1.1736;2.3396;30.7210;2.1442;0.0194;2.1248;0.4095;1.0000
2020-01-05T07:00:00.0/2020-01-05T08:00:00.0;176.2861;98.7217;65.2291;33.4926;481.6219;87.6008;57.6573;29.9434;407.4105;1.0000
2020-01-05T08:00:00.0/2020-01-05T09:00:00.0;364.5945;246.1528;191.0667;55.0861;732.1669;228.1295;185.0598;43.0698;708.6063;1.0000
2020-01-05T09:00:00.0/2020-01-05T10:00:00.0;503.3868;364.3163;298.2336;66.0827;832.9308;343.8010;291.4028;52.3982;813.7946;1.0000
2020-01-05T10:00:00.0/2020-01-05T11:00:00.0;583.2088;434.2409;362.0475;72.1934;873.8257;412.6968;354.5463;58.1505;855.7131;1.0000
2020-01-05T11:00:00.0/2020-01-05T12:00:00.0;598.6227;448.1501;373.9279;74.2221;879.3862;426.3088;366.4876;59.8212;861.8895;1.0000
